"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1903997912604180731","Mon Mar 24 02:30:51 +0000 2025","11","Semoga hari ini banjir orderan sampai kewalahan . #zonauang","1903997912604180731","","","in","Kehidupan","0","1","3","https://x.com/megulfy/status/1903997912604180731","1448321535307968519","megulfy"
"1903997827426222349","Mon Mar 24 02:30:31 +0000 2025","2","im so fucking done fuck praroro fuck gbrn fuck drp fuck ruu tni rasido THR janco https://t.co/WrggFEOgF4","1903997827426222349","https://pbs.twimg.com/media/GmxbxvKakAAdaCm.png","","in","","0","1","0","https://x.com/AchmadAfiq/status/1903997827426222349","1004208490712166401","AchmadAfiq"
"1903997803057340599","Mon Mar 24 02:30:25 +0000 2025","0","Yakan sudah kudugong sebenernya RUU TNI tuh buat siapa sih? Kepentingannya apa? Urgencynya apa?","1903997803057340599","","","in","","0","0","0","https://x.com/ajeng_yf/status/1903997803057340599","47263895","ajeng_yf"
"1903841409821814884","Mon Mar 24 02:30:07 +0000 2025","0","@raffimulyaa NAIKIN HTNYA LAGI WOI ABIS RUU TNI ADA JUGA RUU POLRI. ANJ LEBIH SEREM ‼️HELP RT LIKE OR REPLY‼️ #TolakRUUTNI #TolakRevisiUUTNI #PeringatanDarurat #IndonesiaGelap #TolakDwifungsiABRI #TolakRUUPolri","1903997726343504171","","raffimulyaa","in","","0","0","0","https://x.com/cocoCUnanie/status/1903997726343504171","1842531612871028736","cocoCUnanie"
"1903997657817010481","Mon Mar 24 02:29:50 +0000 2025","0","lagi rame soal tolak ruu tni nih di X pengen join tapi takut ntar dikatain fomo sama yg paling duluan ikutan soal demo² kek gini https://t.co/tAjWHubOJY","1903997657817010481","https://pbs.twimg.com/media/Gmxbx5qbIAA8xYd.jpg","","in","Kota Surabaya, Jawa Timur","0","0","0","https://x.com/Sheii_G444/status/1903997657817010481","1461680750529368069","Sheii_G444"
"1903997594596266152","Mon Mar 24 02:29:35 +0000 2025","0","emang mentang mentang udah disahkan ruu nya si tni malah sosoan berbuat seenaknya anj","1903997594596266152","","","in","rant","0","0","0","https://x.com/supecmen/status/1903997594596266152","1863969205005271040","supecmen"
"1903997561956159787","Mon Mar 24 02:29:28 +0000 2025","0","Revisi skripsi ️ Revisi UU TNI ️ Ini sdh disahkan @DPR_RI Saya pikir ada surprise RUU TNI yang baru buat #WajibMiliter di #NKRI #puasa tahan emosi sesama anak bangsa... Thread @Puspen_TNI https://t.co/cIdbM0yvHj","1903997565147943360","","muchamadhusyein","in","Indonesia","0","1","0","https://x.com/muchamadhusyein/status/1903997565147943360","298621778","muchamadhusyein"
"1903826632726454718","Mon Mar 24 02:29:25 +0000 2025","0","@tanyarlfes NAIKIN HTNYA LAGI WOI ABIS RUU TNI ADA JUGA RUU POLRI. ANJ LEBIH SEREM ‼️HELP RT LIKE OR REPLY‼️ #TolakRUUTNI #TolakRevisiUUTNI #PeringatanDarurat #IndonesiaGelap #TolakDwifungsiABRI #TolakRUUPolri","1903997550732226917","","tanyarlfes","in","","0","0","0","https://x.com/cocoCUnanie/status/1903997550732226917","1842531612871028736","cocoCUnanie"
"1903997291285078122","Mon Mar 24 02:28:23 +0000 2025","0","TOLAK RUU TNI #GagalkanRUUTNI #CabutRUUTNI #TolakRUUTNI #TolakRevisiUUTNI #PeringatanDarurat #IndonesiaGelap #TolakDwifungsiABRI #SupremasiSipil #TolakRUUPolri #TolakRUUKejaksaan","1903997291285078122","","","in","ENHA'S HEART","0","0","0","https://x.com/astroph1lee/status/1903997291285078122","1542731713214029824","astroph1lee"
"1903997275489304733","Mon Mar 24 02:28:19 +0000 2025","0","udah begini masih ada aja yang nanya emang kenapa sih kekeh banget nolak ruu tni dan polisi? muak","1903997275489304733","","","in","akun suka suka khaizure","0","0","0","https://x.com/thjkv_/status/1903997275489304733","1622794942576996352","thjkv_"
